year,anomaly,station_name,station_number,latitude,longitude
1985,-0.551831086,Amberley,40004,-27.63,152.71
1986,-0.055438998,Amberley,40004,-27.63,152.71
1987,0.157273715,Amberley,40004,-27.63,152.71
1988,0.205317407,Amberley,40004,-27.63,152.71
1989,-0.476370359,Amberley,40004,-27.63,152.71
1990,-0.052343541,Amberley,40004,-27.63,152.71
1991,0.212755345,Amberley,40004,-27.63,152.71
1992,-0.482995224,Amberley,40004,-27.63,152.71
1993,0.311628873,Amberley,40004,-27.63,152.71
1994,-0.637145768,Amberley,40004,-27.63,152.71
1995,0.057021858,Amberley,40004,-27.63,152.71
1996,0.049924532,Amberley,40004,-27.63,152.71
1997,-0.031931035,Amberley,40004,-27.63,152.71
1998,0.776553491,Amberley,40004,-27.63,152.71
1999,-0.402676175,Amberley,40004,-27.63,152.71
2000,-0.090955921,Amberley,40004,-27.63,152.71
2001,0.106602312,Amberley,40004,-27.63,152.71
2002,0.405439677,Amberley,40004,-27.63,152.71
2003,-0.107208812,Amberley,40004,-27.63,152.71
2004,0.31119647,Amberley,40004,-27.63,152.71
2005,0.875702381,Amberley,40004,-27.63,152.71
2006,0.174429024,Amberley,40004,-27.63,152.71
2007,0.596104221,Amberley,40004,-27.63,152.71
2008,-0.436987958,Amberley,40004,-27.63,152.71
2009,0.492172099,Amberley,40004,-27.63,152.71
2010,-0.024857849,Amberley,40004,-27.63,152.71
2011,-0.458128871,Amberley,40004,-27.63,152.71
2012,-0.262091906,Amberley,40004,-27.63,152.71
2013,0.386469134,Amberley,40004,-27.63,152.71
2014,0.618246148,Amberley,40004,-27.63,152.71
2015,0.202086823,Amberley,40004,-27.63,152.71
2016,0.924032183,Amberley,40004,-27.63,152.71
2017,0.854667526,Amberley,40004,-27.63,152.71
2018,0.405484455,Amberley,40004,-27.63,152.71
2019,1.325598087,Amberley,40004,-27.63,152.71
2020,0.98114039,Amberley,40004,-27.63,152.71
2021,0.141516226,Amberley,40004,-27.63,152.71
2022,-0.084714573,Amberley,40004,-27.63,152.71
2023,0.465245822,Amberley,40004,-27.63,152.71
1962,-0.353123449,Barcaldine,36007,-23.55,145.29
1963,-0.948248578,Barcaldine,36007,-23.55,145.29
1964,-0.08929148,Barcaldine,36007,-23.55,145.29
1965,0.281274272,Barcaldine,36007,-23.55,145.29
1966,-0.867444716,Barcaldine,36007,-23.55,145.29
1967,-0.211327892,Barcaldine,36007,-23.55,145.29
1968,-0.502082915,Barcaldine,36007,-23.55,145.29
1969,0.33096318,Barcaldine,36007,-23.55,145.29
1970,-0.33328389,Barcaldine,36007,-23.55,145.29
1971,-0.534113568,Barcaldine,36007,-23.55,145.29
1972,-0.175391517,Barcaldine,36007,-23.55,145.29
1973,0.510073235,Barcaldine,36007,-23.55,145.29
1974,-1.339503664,Barcaldine,36007,-23.55,145.29
1975,-0.312739105,Barcaldine,36007,-23.55,145.29
1976,-1.146698012,Barcaldine,36007,-23.55,145.29
1977,-0.742546411,Barcaldine,36007,-23.55,145.29
1978,-1.212166268,Barcaldine,36007,-23.55,145.29
1979,0.014005647,Barcaldine,36007,-23.55,145.29
1980,0.233814018,Barcaldine,36007,-23.55,145.29
1981,-0.321668636,Barcaldine,36007,-23.55,145.29
1982,-0.157532199,Barcaldine,36007,-23.55,145.29
1983,-0.008348744,Barcaldine,36007,-23.55,145.29
1984,-0.950414921,Barcaldine,36007,-23.55,145.29
1985,-0.490989199,Barcaldine,36007,-23.55,145.29
1986,0.388775521,Barcaldine,36007,-23.55,145.29
1987,0.142899016,Barcaldine,36007,-23.55,145.29
1988,0.59016452,Barcaldine,36007,-23.55,145.29
1989,-0.71305156,Barcaldine,36007,-23.55,145.29
1990,-0.873077496,Barcaldine,36007,-23.55,145.29
1991,-0.073961583,Barcaldine,36007,-23.55,145.29
1992,-0.174689299,Barcaldine,36007,-23.55,145.29
1993,0.542721062,Barcaldine,36007,-23.55,145.29
1994,-0.125833383,Barcaldine,36007,-23.55,145.29
1995,0.519603765,Barcaldine,36007,-23.55,145.29
1996,0.198969551,Barcaldine,36007,-23.55,145.29
1997,-0.232236033,Barcaldine,36007,-23.55,145.29
1998,0.407005199,Barcaldine,36007,-23.55,145.29
1999,-0.226017075,Barcaldine,36007,-23.55,145.29
2000,-0.787056369,Barcaldine,36007,-23.55,145.29
2001,-0.294392971,Barcaldine,36007,-23.55,145.29
2002,0.654312226,Barcaldine,36007,-23.55,145.29
2003,0.821791105,Barcaldine,36007,-23.55,145.29
2004,0.340566696,Barcaldine,36007,-23.55,145.29
2005,0.946524208,Barcaldine,36007,-23.55,145.29
2006,0.351388199,Barcaldine,36007,-23.55,145.29
2007,0.019787457,Barcaldine,36007,-23.55,145.29
2008,-0.381163313,Barcaldine,36007,-23.55,145.29
2009,0.454766865,Barcaldine,36007,-23.55,145.29
2010,-0.968732128,Barcaldine,36007,-23.55,145.29
2011,-0.946656457,Barcaldine,36007,-23.55,145.29
2012,-0.62178746,Barcaldine,36007,-23.55,145.29
2013,1.089192824,Barcaldine,36007,-23.55,145.29
2014,0.783948589,Barcaldine,36007,-23.55,145.29
2015,0.966943578,Barcaldine,36007,-23.55,145.29
2016,0.831803515,Barcaldine,36007,-23.55,145.29
2017,1.346634388,Barcaldine,36007,-23.55,145.29
2018,1.198965818,Barcaldine,36007,-23.55,145.29
2019,0.923520501,Barcaldine,36007,-23.55,145.29
2020,0.878871147,Barcaldine,36007,-23.55,145.29
2021,0.069627436,Barcaldine,36007,-23.55,145.29
2022,-0.149543599,Barcaldine,36007,-23.55,145.29
2023,0.586074812,Barcaldine,36007,-23.55,145.29
1910,-0.876438508,Bathurst,63005,-33.43,149.56
1911,-1.425785157,Bathurst,63005,-33.43,149.56
1912,-0.791600024,Bathurst,63005,-33.43,149.56
1913,-0.839757304,Bathurst,63005,-33.43,149.56
1914,0.302861463,Bathurst,63005,-33.43,149.56
1915,-0.230322341,Bathurst,63005,-33.43,149.56
1916,-0.939968918,Bathurst,63005,-33.43,149.56
1917,-2.362797981,Bathurst,63005,-33.43,149.56
1918,-1.81593958,Bathurst,63005,-33.43,149.56
1919,0.542316609,Bathurst,63005,-33.43,149.56
1920,-0.727077054,Bathurst,63005,-33.43,149.56
1921,-0.310354188,Bathurst,63005,-33.43,149.56
1922,-0.917568118,Bathurst,63005,-33.43,149.56
1923,-0.170287152,Bathurst,63005,-33.43,149.56
1924,-1.081667559,Bathurst,63005,-33.43,149.56
1925,-1.000208637,Bathurst,63005,-33.43,149.56
1926,-0.205538002,Bathurst,63005,-33.43,149.56
1927,-1.245297663,Bathurst,63005,-33.43,149.56
1928,0.041546132,Bathurst,63005,-33.43,149.56
1929,-0.710110491,Bathurst,63005,-33.43,149.56
1930,-0.031167327,Bathurst,63005,-33.43,149.56
1931,-0.626884354,Bathurst,63005,-33.43,149.56
1932,-0.539949494,Bathurst,63005,-33.43,149.56
1933,-0.44129385,Bathurst,63005,-33.43,149.56
1934,-0.431027321,Bathurst,63005,-33.43,149.56
1935,-1.367474568,Bathurst,63005,-33.43,149.56
1936,-0.816723648,Bathurst,63005,-33.43,149.56
1937,-0.561317218,Bathurst,63005,-33.43,149.56
1938,0.49920112,Bathurst,63005,-33.43,149.56
1939,0.516258993,Bathurst,63005,-33.43,149.56
1940,0.037418046,Bathurst,63005,-33.43,149.56
1941,-0.985469443,Bathurst,63005,-33.43,149.56
1942,-0.15722247,Bathurst,63005,-33.43,149.56
1943,-1.295196091,Bathurst,63005,-33.43,149.56
1944,-0.337365826,Bathurst,63005,-33.43,149.56
1945,-0.487016764,Bathurst,63005,-33.43,149.56
1946,-0.358586946,Bathurst,63005,-33.43,149.56
1947,-0.227332626,Bathurst,63005,-33.43,149.56
1950,-0.237575782,Bathurst,63005,-33.43,149.56
1951,-1.053395522,Bathurst,63005,-33.43,149.56
1952,-0.568383096,Bathurst,63005,-33.43,149.56
1953,-0.987522784,Bathurst,63005,-33.43,149.56
1954,-0.973406113,Bathurst,63005,-33.43,149.56
1955,-0.903320005,Bathurst,63005,-33.43,149.56
1956,-1.333445209,Bathurst,63005,-33.43,149.56
1957,-0.101149867,Bathurst,63005,-33.43,149.56
1958,-0.036288186,Bathurst,63005,-33.43,149.56
1959,-0.507949718,Bathurst,63005,-33.43,149.56
1960,-1.219652799,Bathurst,63005,-33.43,149.56
1961,-0.351829402,Bathurst,63005,-33.43,149.56
1962,-0.986390569,Bathurst,63005,-33.43,149.56
1963,-0.778595677,Bathurst,63005,-33.43,149.56
1964,-1.222416969,Bathurst,63005,-33.43,149.56
1965,-0.682046447,Bathurst,63005,-33.43,149.56
1966,-1.204279087,Bathurst,63005,-33.43,149.56
1967,-0.499744986,Bathurst,63005,-33.43,149.56
1968,-0.72356006,Bathurst,63005,-33.43,149.56
1969,-0.578494658,Bathurst,63005,-33.43,149.56
1970,-1.379014714,Bathurst,63005,-33.43,149.56
1971,-1.129501086,Bathurst,63005,-33.43,149.56
1972,-0.963678445,Bathurst,63005,-33.43,149.56
1973,-0.069968467,Bathurst,63005,-33.43,149.56
1974,-0.844076905,Bathurst,63005,-33.43,149.56
1975,-0.59681843,Bathurst,63005,-33.43,149.56
1976,-1.207342457,Bathurst,63005,-33.43,149.56
1977,-0.226340862,Bathurst,63005,-33.43,149.56
1978,-0.832290758,Bathurst,63005,-33.43,149.56
1979,0.101875411,Bathurst,63005,-33.43,149.56
1980,0.562414773,Bathurst,63005,-33.43,149.56
1981,0.385329064,Bathurst,63005,-33.43,149.56
1982,0.397003722,Bathurst,63005,-33.43,149.56
1983,0.260532993,Bathurst,63005,-33.43,149.56
1984,-1.186899649,Bathurst,63005,-33.43,149.56
1985,-0.556935535,Bathurst,63005,-33.43,149.56
1986,-0.740300337,Bathurst,63005,-33.43,149.56
1987,-0.449851562,Bathurst,63005,-33.43,149.56
1988,0.067181738,Bathurst,63005,-33.43,149.56
1989,-0.364684831,Bathurst,63005,-33.43,149.56
1990,0.119475051,Bathurst,63005,-33.43,149.56
1991,0.394662647,Bathurst,63005,-33.43,149.56
1992,-1.080066593,Bathurst,63005,-33.43,149.56
1993,-0.252384524,Bathurst,63005,-33.43,149.56
1994,-0.382276677,Bathurst,63005,-33.43,149.56
1995,-0.270968113,Bathurst,63005,-33.43,149.56
1996,-0.488007052,Bathurst,63005,-33.43,149.56
1997,0.388907079,Bathurst,63005,-33.43,149.56
1998,0.3683225,Bathurst,63005,-33.43,149.56
1999,-0.114393995,Bathurst,63005,-33.43,149.56
2000,-0.368289979,Bathurst,63005,-33.43,149.56
2001,0.170360114,Bathurst,63005,-33.43,149.56
2002,0.351460111,Bathurst,63005,-33.43,149.56
2003,0.121408491,Bathurst,63005,-33.43,149.56
2004,0.495548905,Bathurst,63005,-33.43,149.56
2005,0.424034911,Bathurst,63005,-33.43,149.56
2006,0.599721045,Bathurst,63005,-33.43,149.56
2007,0.908320801,Bathurst,63005,-33.43,149.56
2008,-0.247439884,Bathurst,63005,-33.43,149.56
2009,1.041655095,Bathurst,63005,-33.43,149.56
2010,0.164335961,Bathurst,63005,-33.43,149.56
2011,-0.099755079,Bathurst,63005,-33.43,149.56
2012,-0.347660999,Bathurst,63005,-33.43,149.56
2013,0.692874515,Bathurst,63005,-33.43,149.56
2014,0.94235625,Bathurst,63005,-33.43,149.56
2015,0.606058733,Bathurst,63005,-33.43,149.56
2016,0.856620446,Bathurst,63005,-33.43,149.56
2017,1.036431937,Bathurst,63005,-33.43,149.56
2018,1.123017766,Bathurst,63005,-33.43,149.56
2019,1.516416231,Bathurst,63005,-33.43,149.56
2020,0.615283579,Bathurst,63005,-33.43,149.56
